config,model,num_narrative_agents,aggregation,validation,avg_api_calls,avg_cost_usd,avg_latency_sec,f1_samples
agora_majority_gpt5nano_pt_t00,gpt-5-nano,3,majority,False,5.0,0.002,50.2788,0.4022
agora_union_deepseek_pt_t00,deepseek-chat,3,union,False,5.0,0.0021,18.4928,0.3756
agora_majority_deepseek_pt_t00,deepseek-chat,3,majority,False,5.0,0.0021,17.3813,0.3748
agora_deepseek_bg_t00,deepseek-chat,3,intersection,False,5.0,0.0021,1.6328,0.37
agora_deepseek_bg_t07,deepseek-chat,3,intersection,False,5.0,0.0021,1.6147,0.3575
baseline_deepseek_bg_t00,deepseek-chat,1,union,False,3.0,0.0013,2.099,0.3459
baseline_deepseek_bg_t07,deepseek-chat,1,union,False,3.0,0.0013,2.174,0.3409
baseline_deepseek_pt_t00,deepseek-chat,1,union,False,3.0,0.0013,6.7127,0.3354
baseline_deepseek_pt_t07,deepseek-chat,1,union,False,3.0,0.0013,1.3684,0.3288
actor_critic_deepseek_ru_t07,deepseek-chat,1,union,True,5.0,0.0021,8.788,0.3284
agora_deepseek_ru_t07,deepseek-chat,3,intersection,False,5.0,0.0021,2.1288,0.3253
actor_critic_deepseek_ru_t00,deepseek-chat,1,union,True,5.0,0.0021,8.3328,0.3211
agora_deepseek_ru_t00,deepseek-chat,3,intersection,False,5.0,0.0021,2.1093,0.3199
agora_majority_gpt5nano_ru_t00,gpt-5-nano,3,majority,False,5.0,0.002,71.1095,0.3114
actor_critic_deepseek_bg_t07,deepseek-chat,1,union,True,5.0,0.0021,6.6162,0.3092
baseline_deepseek_ru_t00,deepseek-chat,1,union,False,3.0,0.0013,0.2335,0.3046
baseline_deepseek_ru_t07,deepseek-chat,1,union,False,3.0,0.0013,2.5169,0.2942
agora_majority_gpt5nano_bg_t00,gpt-5-nano,3,majority,False,5.0,0.002,106.228,0.2927
actor_critic_deepseek_bg_t00,deepseek-chat,1,union,True,5.0,0.0021,35.2751,0.2869
actor_critic_gemini_en_t00_v2,gemini-2.5-flash,1,union,True,5.0,0.0015,23.4974,0.2825
agora_mistral_pt_t00,mistral-large-latest,3,intersection,False,5.0,0.035,2.2829,0.275
agora_deepseek_hi_t00,deepseek-chat,3,intersection,False,5.0,0.0021,1.8353,0.2745
baseline_deepseek_hi_t00,deepseek-chat,1,union,False,3.0,0.0013,1.9662,0.2719
actor_critic_gemini_en_t07_v2,gemini-2.5-flash,1,union,True,5.0,0.0015,32.4216,0.2658
